PM2.5 (ug/m3),NO (mg/m3),NO2 (ug/m3),NOx (ppb),SO2 (ug/m3),Benzene (ug/m3),T,TM,Tm,SLP,H,VV
176.96,49.97,56.73,70.16,14.33,2.06,13.5,21.7,6.4,1015,73,0.8
133.03,15.97,63.56,46.61,9.65,1.3,14.3,23.4,7,1016.2,73,1.3
139.13,35.67,78.99,70.55,10.1,1.3,16.9,26.4,9.8,1015,63,1.6
151.06,57.26,68.2,82.08,11.53,1.57,17.2,26.9,9.9,1014.3,69,1.4
140.26,20.27,53.25,44.53,10.95,2,18.7,27.2,11,1013.9,69,1.4
145.39,17.45,52.4,41.83,11.29,2,17.7,27.8,10.5,1012.7,69,1.6
165.85,37.5,55.91,59.74,11.65,1.99,16,26.5,9.3,1015.4,57,1.4
167.81,34.58,57.8,58.41,11.68,1.82,14.4,24.6,9,1015.7,61,1.9
125.51,19.46,42.88,38.39,7.18,1.77,15.1,23.7,6.3,1018.4,55,1.4
203.25,34.17,38.97,48.07,11.1,2,16,22,11.4,1017.5,54,1.8
206.49,47.18,36.57,57.19,11.11,1.75,15,23.6,8.5,1014.6,55,1.4
239.63,49.21,43.1,62.29,16.65,6.15,13.9,24.1,5.5,1013.8,61,1.6
181.49,29.96,40.16,45.33,16.57,6.58,14.6,24,6.1,1014.4,59,1.3
84.91,17.71,28.56,29.37,5.05,1.4,17.4,25.6,8.5,1015.1,59,1.9
92.01,12.25,24.75,22.96,4.4,0.96,16.4,25.4,13,1018.9,78,1.9
94.28,11.13,24.37,21.87,5.13,1.35,16.4,23.4,9,1022.5,75,1.6
116.19,13.93,28.08,26.08,9.01,1.81,16.4,23.5,10.2,1021.6,63,1.8
130.93,12.75,29.39,25.83,9.49,1.83,17.5,23.4,11.6,1019.6,66,2.4
141.46,14.13,27.45,25.9,10.41,1.86,17.7,24.8,11.2,1017.3,73,1.4
165.86,31.14,28.07,39.82,14.3,3.59,18.4,25.4,12.6,1012.5,67,1.4
174.05,29.48,28.5,38.75,13.77,2.7,16.9,26.4,12.2,1012.4,69,1.9
216.81,53.88,36,62.25,15.33,6.29,18.1,26.6,10,1013.9,60,1.6
200.05,27.79,32.79,39.67,19.12,2.8,19,28.2,10.1,1012.9,62,2.1
163.6,31.24,25.69,38.66,17.09,4.18,21.5,31.2,12.5,1010.5,59,1.8
149.45,16.5,28.1,28.14,19.03,3.21,22,31.7,14,1009.7,63,1.9
119.54,13.66,27.71,25.67,14.81,2.27,22.8,32,15.5,1009.6,64,1.9
65.42,10.26,18.27,17.94,7.95,0.92,23.9,31.1,17,1012.1,68,1.8
73.55,10.74,22.88,20.76,10.57,1.22,22.5,31.6,17,1015.4,65,1.9
131.51,24.38,35.09,38.17,18.11,3.39,21.1,29.4,14.5,1012.8,64,2.6
139.11,16.97,33.67,31.49,14.66,2.97,22.3,29.8,15.4,1012.6,65,1.9
126.29,19.81,33.91,33.88,15.45,4.02,22.9,30.2,15.4,1012.5,68,1.6
98.71,15.74,31.34,29.26,13.25,2.26,21.7,30.7,14.9,1010.8,62,1.6
82.66,12.93,30.61,26.63,10.25,1.76,22.9,31,15.5,1009,58,2.3
77.22,13.25,31.6,27.41,10.48,2.18,24.1,32.3,16.6,1006.9,53,2.1
73.48,11.97,32.5,26.86,9.72,0.88,22.6,33.1,17.3,1009.3,54,1.9
83.57,11.47,31.48,25.91,11.67,2.04,22.2,31.7,14.5,1013.1,52,2.4
116.68,36.37,38.94,49.8,15.07,3.69,21,28.8,14.8,1013.4,56,1.8
129.41,27.89,43.31,45.35,20.6,7.52,21.8,29.4,14.7,1012.3,53,2.6
79.09,11.1,33.11,26.49,11.53,1.57,22.6,31.6,13.3,1013.2,57,2.3
81.59,11.11,31.96,25.89,12.74,2.05,23.4,32.2,14.8,1013.1,52,1.8
108.19,28.39,37.74,42.78,17.41,3.55,23.9,32.2,16,1011.8,50,2.3
86.2,17.65,38.66,34.69,14.37,2.56,23.6,32.6,16.5,1011.8,54,2.3
108.13,29.01,41.14,45.1,14.23,3.28,24.8,34.4,16.4,1010.8,49,2.6
122.91,17.21,39.28,34.66,12.94,2.62,25.9,35.6,17.1,1008.9,45,2.3
119.66,14.75,33.54,29.64,12.85,2.15,24.8,36.2,17,1007.1,47,2.7
92.26,11.38,31.92,26.09,13.4,1.71,25,34.1,17.2,1007.8,51,2.6
88.74,12.01,33.31,27.32,12.65,2.16,24,32.4,16.8,1009.1,52,2.4
87.08,11.49,31.61,26,10.17,1.65,24,31.2,17.5,1010.4,44,2.7
119.22,14.72,34.69,30.22,12.56,2.06,23.5,31.6,14.6,1012.1,44,2.6
164.15,22.12,43.9,41.04,17.75,5.35,24.6,34.4,15,1012.9,44,2.3
106.19,12.84,25.52,23.85,8.8,2.31,26.1,35,16.5,1009.2,45,2.6
78.8,11.86,24.39,22.47,7.74,1.5,26.1,35,21,1007.8,53,2.6
107.97,12.26,29.77,25.64,8.44,1.92,24.8,33.2,18.5,1008.6,56,1.9
119.73,11.75,28.94,24.79,8.99,2.38,24.1,31.1,18,1010.5,54,1.8
104.91,12.27,30.28,25.93,10.14,2.87,25.4,31.6,18.3,1012.5,49,2.6
126.34,22.27,33.99,35.9,11.12,3.54,25.7,32.3,18.5,1013.6,49,1.9
157.75,49.19,39.36,60.28,15.98,5.45,26.3,33.6,19.5,1011,44,2.6
113.12,11.77,29.68,25.2,10.42,2.75,27.1,36.8,17.3,1007.9,38,3.2
114.31,14.29,32.96,28.96,11.51,2.64,28.8,38.6,17.6,1007,36,2.6
111.43,13.37,32.78,28.13,13.35,2.97,27.8,38.6,19.6,1006.3,42,2.6
111.57,10.95,26.25,22.72,13.08,1.67,27.9,36.1,20,1004.4,41,2.7
80.38,11.17,31.13,25.49,10.42,2.09,26.9,36.2,20,1007.6,51,2.9
82.6,11.33,35.82,28.12,12.08,2.17,27.8,34.8,20,1008.6,52,2.7
85.18,11.59,34.1,27.31,11.07,3,27.6,36.2,20.8,1009,53,2.6
135.31,22.91,38.49,38.8,22.57,5.88,29.4,38.2,21.4,1007.2,49,2.6
94.32,11.47,29.96,25.11,10.95,2.62,30.2,38.6,23,1004.3,48,2.6
59.85,12.27,25.26,23.26,3.51,0.87,30.4,39,23.2,1003.6,46,2.1
63.77,11.39,24.87,22.34,3.54,1.4,27.8,37.6,21,1006.2,52,2.3
61.89,11.55,24.36,22.2,4.14,1.29,27.9,36.6,19,1008.3,57,2.7
120.93,23.23,33.86,36.59,12.54,4.01,29.4,35.6,23,1008.8,51,2.3
64.13,10.36,27.46,22.36,5.3,1.44,25.2,36.3,20.2,1010.1,67,2.9
42.02,10.81,27.62,19.1,4.82,0.99,28.4,35,21.4,1007.7,50,2.6
102.4,19.18,45.62,29.49,11.26,2.75,26.6,35.5,23.6,1008.2,54,2.6
111.78,31.46,45.63,37.35,11.79,2.97,26.8,33.4,17.6,1007.3,48,3.1
99.78,21.03,43.01,29.95,12.95,2.78,25.8,34.4,18.2,1008.3,38,2.3
108.42,24.77,51.74,34.78,10.22,3.54,28.1,36,18.2,1006.8,36,3.1
85.82,15.48,45.12,26.98,10.52,2.31,30.1,38,20.5,1006,39,2.7
103.02,13.32,40.01,24.17,5.42,1.86,30.8,39.4,22.4,1006.3,40,1.9
118.23,12.54,47.74,25.84,8.71,2.17,31.4,40,23.3,1007.6,31,2.6
99.69,12.38,43.72,24.6,4.19,1.79,32,38.6,23.7,1006.5,27,2.7
198.03,10.5,29.23,19.34,1.35,0.93,31.1,39,23,1003,32,2.6
106.56,9.92,30.86,19.43,4.83,1.04,32.7,39.4,24,1002.6,26,1.9
108.38,10.07,36.75,21.18,11.17,1.47,29.2,39.5,24,1007.9,31,2.6
151.36,15.12,46.53,27.15,27.74,0.89,28.6,34.4,21.2,1008.1,24,2.3
125.57,29.22,52.16,37.75,16.94,1.01,29.2,35.4,22,1006.8,26,2.6
166.78,49.64,53.15,51.09,35.39,5.72,29.8,37.8,20.5,1005.5,31,2.7
119.86,16.23,53.45,29.8,2.85,2.46,31.7,41.4,20.8,1002.3,26,2.6
95.09,9.79,32.51,19.81,11.83,2.46,33.2,41.6,25.5,1001.5,31,1.9
94.37,10.12,31.22,19.66,7.75,2.44,32.4,42,26.4,1004.7,48,3.1
85.6,15.11,39.7,25.23,8.28,2.09,33.3,39.2,28.4,1003.8,43,1.9
67.9,10.07,26.75,18.38,9.46,1.25,32.4,39.6,26.2,1000.4,49,2.4
71.46,9.86,25.85,18.48,7.7,2.07,33,40.4,25,999.8,43,2.3
61.64,10.31,23.56,20.79,3.27,1.21,31.7,40,26.5,1003.4,52,2.7
43.72,9.86,20.46,18.77,5.94,0.88,28.8,37.6,20.2,1004.7,59,1.6
70.86,9.27,28.24,22.43,20.47,1.73,29.6,34.2,25,1005.8,52,1.9
106.69,19.87,40.67,37.54,3.86,5.1,30.2,36.4,22.6,1005.2,59,2.7
81.98,15.85,32.17,29.79,5.7,2.4,32.3,38.4,25.6,1004.3,49,2.7
92.86,10.74,27.57,23.25,6.8,1.74,31.3,39.1,26.5,1005.4,42,1.9
79.03,9.68,30.83,24.15,10.63,1.29,31.2,38,24,1003.2,40,1.9
80.74,12.71,34.76,28.66,7.55,2.08,29.1,39.6,24.6,1004.3,43,1.8
122.56,14.72,45.39,35.93,11.02,4.31,28.3,35.2,22.4,1006.1,57,1.9
136.71,9.08,48.39,33,12.03,4.59,30.9,38.6,21.5,1006.2,43,1.9
113.16,6,26.25,18.76,8.86,2.52,33.6,41,24.2,1002.5,37,2.3
63.28,6.21,26.47,19.04,8.38,0.74,34.8,42.8,26.7,1002,47,1.9
74.94,6.14,30.5,21.13,6.83,1.09,29.9,42.2,24.4,1003.5,56,1.8
86.62,7.87,32.7,23.7,7.69,0.82,30.2,35.6,24,1004.6,53,2.6
122.82,7.1,31.3,22.32,8.6,1.45,32.2,37.4,26.4,1002.2,54,2.7
101.31,8.99,31.69,24.05,8.88,1.45,34.2,40,25,1001.6,34,2.7
113.46,17.45,44.02,37.37,11.32,1.45,34.3,41.2,26.1,1001.6,33,2.3
75.72,6.68,27.92,20.2,7.81,1.45,33.2,41.8,26.7,1001.4,40,1.9
89.53,7.06,28.71,20.92,12.57,1.45,33.1,41.2,26.4,1001.7,40,1.9
103.26,7.16,30.65,22.03,15.85,1.56,33.2,41.4,27,1002.8,33,2.6
150.44,26.72,43.97,44.77,21.53,6.48,34.1,41.2,25.5,1002.9,26,2.7
117.29,7.46,36.31,25.27,21.69,4.21,35,43,26.2,1002,30,3.1
100.16,10.69,33.36,26.3,13.11,2.58,34.8,44,26.7,1000.3,37,1.9
112.31,12.17,34.13,27.89,15.97,2.97,33.1,43,26.5,1000.2,39,2.6
129.43,15.13,34.89,30.66,15.25,2.96,34.5,43,23.8,1000.1,25,2.7
145.37,7.53,31.05,22.54,9.75,2.87,34.5,44,24.5,998.9,27,1.9
137.81,25.14,36.47,39.93,2.05,4.57,36.1,45,26.3,998.1,24,2.7
97.7,5.92,29.95,20.66,2.64,1.05,35.5,44.2,27.2,996.6,35,2.9
77.95,7.35,34.24,24.09,4.96,1.2,37.8,44,25.9,996.3,30,3.5
90.6,5.94,32.13,21.84,6.96,1.57,34.5,44.4,29.6,997.6,48,2.6
175.12,5.71,26.21,18.51,5.55,1.13,35.9,42,29.4,999.7,46,2.7
69.97,6.84,23.06,17.31,1.88,0.5,32.3,42,26.6,1001.6,53,2.7
62.3,6.64,25.05,17.49,3.71,0.59,34,39.2,27.7,998.6,56,2.6
61.46,7.25,27.06,20.2,3.24,1.09,35.9,41,30.4,998.2,51,2.7
64.59,7.72,31.95,23.18,3.68,1.95,36.3,41.7,31.2,1000.7,52,2.6
68.35,18.01,48.96,43.42,2.23,1.41,33,41.6,28.5,1001.9,64,2.6
72.89,9.2,23.22,19.76,4.86,0.7,35.8,40.8,29.2,997,53,1.9
64.69,8.75,25.18,20.35,3.99,1.09,35.2,41.4,32,994.3,55,1.9
88.57,8.14,23.79,19.13,2.86,1.18,30.3,40.5,25.6,995.1,75,1.4
163,10.17,25.95,21.87,2.17,1.09,33,40.1,23.4,994.6,58,2.6
351.54,7.18,31.53,22.5,2.85,1.01,35.6,40.4,29.8,991.9,45,1.9
428.19,6.8,20.86,16.53,5.66,0.59,37,41,30.5,989.8,46,1.9
269.12,6.68,19.03,15.47,11.88,0.69,37.8,41.7,34,990.4,41,1.6
156.82,6.63,21.14,16.54,10.96,0.8,36.8,41.2,33,992.5,41,1.6
137.68,5.99,19.81,15.33,8.86,0.71,36.7,40.5,33.4,994.7,43,1.9
68.69,6.42,20.33,15.95,8.5,0.78,35.1,40.6,32.2,997.2,52,1.9
66.88,6.14,19.6,15.34,7.49,1.11,32.1,40,28.2,998.5,59,1.9
84.22,6.5,20.89,16.31,5.97,1.23,32.8,36.8,27.9,998.8,53,1.9
108.14,5.97,20.09,15.47,5.96,1.7,34.2,39.4,26.5,998.2,49,2.6
89.76,6.04,23.92,17.55,6.06,0.94,35.2,40.2,29.8,998.9,55,2.6
109.66,6.08,26.74,19.09,7.15,1.45,36.2,41.9,30.9,998.2,50,1.9
83.16,6.01,20.94,15.94,6.11,1.45,36.1,42,30,997.3,44,1.9
94.92,6.29,21.89,16.68,5.26,1.56,36.6,42.5,31.6,996.8,42,1.9
88.44,6.16,20.12,15.63,6.28,0.52,36.5,42.4,31.6,995.9,44,2.6
58.94,6.18,18.4,14.73,3.49,0.87,36.6,42.2,32.6,993.8,42,2.1
43.01,5.55,16.76,13.34,5.8,0.55,32.4,42.7,30.7,995.5,59,1.9
26.28,4.42,17.52,12.65,9.66,0.61,30.3,37.5,26.2,997.8,76,1.9
46.36,5.22,18.67,14.1,4.82,1.55,29.9,37.5,24.2,998.9,78,1.9
45.94,7.1,18.32,15.42,3.03,1.3,30.7,35.2,27.9,998.6,77,1.9
55.09,5.32,20.09,14.88,3.96,0.49,31.3,35.6,27.5,999,75,1.9
49.99,5.44,23.25,16.7,2.87,0.73,32.6,36.2,29,997.2,68,1.9
78.23,4.78,19.44,14.16,4.1,1.01,31.2,37.4,24.4,995.6,66,2.9
54.63,3.45,17.55,11.34,7.1,0.81,32.1,37.8,23.6,995.7,70,2.3
83.76,4.11,22.82,15.4,14.95,0.89,31.7,36.7,27.4,996.6,68,1.9
79.91,3.44,21.68,14.27,1.09,0.75,32.2,36.8,28.6,997.9,69,1.9
91.69,8.23,24.57,19.65,2.29,1.29,32.9,37.3,27.8,997.4,61,2.6
93.57,3.47,23.29,15.16,5.14,0.84,33.7,37.8,28.2,997,59,1.9
65.44,3.51,17.49,12.09,12.35,0.8,35.2,39.4,28.5,995.6,55,3.1
54.36,3.38,19.01,12.81,7.98,0.8,33.4,40.1,30.8,996.1,71,1.9
67.32,3.81,18.21,12.73,13.25,0.99,34.1,40.1,29.2,996.2,66,1.9
52.54,3.76,18.07,12.6,12.71,1.11,32.3,39.1,29.6,995.6,72,1.9
54,8.07,19.67,16.91,21.1,0.8,32.4,36.7,28.6,995.5,72,2.7
45.16,3.82,16.45,11.79,18.01,0.8,29.3,37.8,26.2,996.9,85,1.9
53.68,3.99,26.73,17.41,16.38,0.86,30.3,34.2,25.4,996.2,82,1.9
51.91,4.2,20.39,14.18,16.42,2.18,31.8,35.2,27.6,996.2,77,1.9
58.09,5.57,19.6,14.86,11.16,1.95,29.8,35.4,28.4,996.6,91,1.9
54.54,5.4,15.37,12.45,15.05,0.97,32.6,35.6,28,996.7,73,2.7
52.13,4.99,16.01,12.5,10.1,0.98,32.9,37.2,28.6,997.4,71,1.9
68.43,6.03,19.79,15.35,7.02,2.26,32.8,37.3,28.8,996.9,73,2.6
38.3,5.29,18.62,14.13,12.11,0.72,29.2,37.8,26,996.8,87,1.9
47.22,6.5,15.69,13.55,6.97,1.41,29.2,33.4,27,997.3,89,1.9
65.25,5.5,17.12,13.5,7.1,1.58,29,34.4,26,997.6,91,1.9
59.75,4.42,16.71,12.12,3.08,0.43,30.7,34.6,26.2,997.4,79,1.9
54.94,6.21,24.61,17.03,3.28,0.44,32.4,36.4,28.2,997.5,72,1.9
36.1,5.8,25.66,17.28,4.86,1.04,29.5,36.7,28,997.3,84,1.9
43.98,5.72,16.1,12.11,8.73,0.62,26.9,32.2,25.8,997.6,95,1.9
54.85,7.45,22.05,16.69,2.35,1.22,26.7,28.7,25.2,996.7,95,1.9
86.21,6.54,18.13,13.87,6.96,1.23,28.2,31.8,25.4,997.5,86,1.9
98.15,8.37,19.06,15.8,9.63,1.45,30.3,34.4,25.4,997.6,76,2.6
88.96,5.47,17.71,12.68,13.21,1.45,30.9,34.8,23,997.3,77,2.7
127.24,10.53,40.38,28.82,28.42,1.45,30,34.5,27.2,997,76,1.9
117.89,7.47,25.61,18.6,14.58,1.45,31.5,35,26,997,71,2.7
122.61,7.53,24.98,18.3,17.46,1.45,32.1,35.6,28.2,998.3,67,2.3
120.44,7.58,20.01,15.7,19.73,1.45,31.5,35.8,28.2,998.6,68,2.3
79.94,8.21,39.37,26.5,18.77,1.45,32.3,35.4,28.2,998.3,64,1.9
70.13,7.46,24.45,17.97,3.31,1.35,29.7,36,26.8,998.9,79,1.9
49.85,6.09,21.86,15.48,4.97,1.15,28.2,33.2,26.6,999.2,85,1.9
52.89,6.72,19.68,14.84,4.7,1.15,28.2,31.8,26.4,999.2,89,1.9
57.52,7.25,28.96,20.19,7.68,1.08,30.4,33.4,26.5,999.9,83,1.9
51.7,5.98,27.5,18.4,7.81,0.79,32,35.4,27.6,1001.8,73,2.3
45.4,6.31,23.95,16.77,5.27,0.45,30.7,36.5,28.3,1000.1,84,2.3
53.69,6.67,29.25,19.89,5.56,0.54,32.1,35.8,27.6,996.5,72,1.9
65.29,5.12,26.73,17.36,15.58,0.57,30.4,35.3,26.8,995.4,77,1.9
67.87,3.79,18.53,12.81,9.26,1,30.4,33.2,27.6,997.1,78,1.9
55.6,3.83,38.07,23.23,8.6,0.61,30.8,34.4,27.4,997.6,80,2.3
51.19,9.72,16.87,16.71,10.23,1.44,31.1,35.3,28.4,999.9,73,2.6
46.59,4.82,21.68,15.35,6.46,1.41,30.6,35.6,27.6,1000.6,79,2.3
63.69,12.02,37.84,29.73,17.07,0.95,31.5,35.6,27.9,998.3,78,1.9
83.13,15.28,35.48,31.09,15.5,0.95,30.4,36.2,27.8,998.1,81,1.9
46.9,9.01,37.54,27.18,9.79,0.95,30,33.6,25.9,999.8,83,1.9
52.64,12.78,39.78,31.36,10.82,0.95,31.7,36.4,26.2,999.2,73,1.9
49.53,9.17,31.11,23.84,7.55,0.97,30.9,36.8,28.8,998.7,79,1.9
50.8,9.34,31.07,23.97,7.44,1.45,29.6,35.8,27.2,999.8,83,2.3
46.48,9.09,30.16,23.3,7.19,1.45,30.4,34,27.2,999.1,76,3.1
45.61,8.57,34.11,25,7.81,1.45,30.3,34.4,27,998.5,73,2.6
53.1,10.23,41.53,30.27,10.33,1.36,31,34.2,27,998,73,3.2
43.05,10.81,37.55,28.57,9.72,1.25,29.6,34.9,26.5,999.8,83,2.6
50.09,14.68,35.39,30.57,11.88,1.24,28.4,32.7,26,1001.3,92,1.9
86.18,10.27,36.09,27.4,10.94,1.21,28.7,31.7,26.3,1001.9,88,1.9
72.04,13.57,33.62,28.37,9.89,0.94,30.9,34.4,26.3,999.1,78,1.9
57.02,15.31,33.72,30.17,9.21,0.95,30.9,35.1,28,1000,76,2.3
55.82,10.52,35.08,27.03,8.71,0.95,27.1,34,23.5,1002.6,93,1.8
74.67,16.83,38.08,33.5,19.47,0.95,26.7,29.4,25,1002.3,92,1.9
61.79,9,27.55,21.71,9.26,0.67,26.7,29,25.6,1002.4,95,1.6
74.64,10.69,20.11,15.68,12.85,1.3,27,29.6,25.1,1002.8,93,1.6
57.34,6.3,23.77,17.68,11.34,0.84,28.1,30.4,23.8,1002.4,86,2.1
52.9,6.22,23.72,17.56,14.08,2.59,30.2,35.6,25.2,1001.6,74,2.1
49.01,4.18,19.44,13.61,12.29,1.05,28.3,34.6,24.6,1003.2,86,2.1
50.66,4.83,23.25,16.17,9.8,0.39,28.7,34.1,25.5,1003.5,83,2.6
62.95,6.53,19.07,15.36,3.77,0.84,28.6,33.6,25,1005.2,80,3.1
53.74,5.25,20.14,14.91,4.31,0.5,28.7,32.7,24.8,1006.8,81,1.9
60.13,5.41,20.62,15.05,8.02,0.47,30.2,33.8,26,1005.3,76,2.7
57.82,5.58,19.16,14.66,7.13,0.5,30.4,34.3,26.5,1002.6,70,2.6
60.83,6.97,31.81,22.49,16.31,0.59,30.3,33.6,26.5,1003.3,67,2.6
63.38,4.66,20.86,14.78,19.23,0.64,29.5,34.4,22.2,1005.7,70,3.4
82.75,4.19,19.77,13.86,14.82,0.48,30.6,34.6,25.5,1007.3,60,4
82.85,4.88,24.72,17.04,15.87,0.75,29.6,34.6,25.5,1005.8,68,2.7
83.02,5.09,23.77,16.72,14.39,1.42,30.2,34.8,25.2,1004.7,61,3.4
85.05,3.93,24.12,15.96,16.16,1.85,28.7,35.2,23.2,1004.7,68,3.4
56.85,4.38,20.58,14.45,15.79,0.55,30,35.4,24,1005.2,66,2.7
54,4,18.98,13.27,16.36,0.53,28.3,35.7,23.8,1008,75,2.6
49.27,3.64,18.88,11.18,39.2,4.53,25.8,34,22.2,1008,91,1.9
43.59,4.99,17.03,12.88,16.22,0.47,27.3,30.2,25,1007.6,86,1.9
96.78,31.04,22.09,36.58,10.29,3.71,24.2,27.8,22,1007.4,90,1.8
103.86,38.8,26.82,45.3,12.6,6.58,27.1,32.2,22,1007.1,77,3.5
122.97,49.54,38.94,60.33,14.28,7.64,28,33.2,22.6,1007.8,75,2.7
87.77,12.7,24.9,22.53,9.12,0.75,29.3,35.4,23.2,1008.3,63,2.6
93.72,11.41,28.31,24.06,8.22,1.06,28.9,35.5,23.4,1009.1,65,2.3
115.68,10.52,29.33,23.96,8.36,2.11,28.1,35.2,24.2,1008.4,65,2.6
103.74,16.85,30.65,29.78,6.61,1.11,28.2,34.8,22.2,1008.4,66,2.7
117.61,15.08,29.46,27.72,8.37,2.1,28.7,35.2,22.5,1008.8,63,2.6
144.65,31.42,44.38,48.74,11.68,7.12,28.8,35.6,22.5,1008.5,59,2.6
99.42,14.68,33.13,29.36,5.63,1.91,28.6,36,23.4,1010,63,1.9
102.81,12.29,36.76,29.37,10.66,1.85,27.8,35.5,22.4,1010.9,67,1.9
127.12,21.84,42.17,39.9,7.37,3.11,27.1,35.2,21,1010.6,61,3.2
126.46,9.8,50.95,34.91,15.4,3.6,26.4,34.6,20.2,1010,63,2.3
116.86,28.85,48.34,48.77,20.07,3.06,27.5,34.8,20.1,1008.1,63,1.9
98.9,8.85,35.08,25.63,15.14,1.07,27.8,35.3,22.4,1007.4,66,1.9
80.7,9.64,33.02,25.27,13.75,2.25,28.8,35.5,23,1008,66,2.3
143.84,13.29,32.86,28.12,14.9,3.08,25.3,34.6,20.2,1010.7,64,1.9
112.28,16.71,36.66,32.76,16.52,2.77,24.8,32.3,17.5,1012.3,60,1.9
145.66,42.1,55.57,59.77,24.29,11.49,24.2,31.8,17.3,1011.6,58,2.6
125.04,19.71,49.52,41.87,14.6,3.87,25.7,32.5,17,1012.1,58,2.6
157.81,67.18,49.74,80.2,25.59,15.68,26.2,34.2,18.5,1011,63,1.9
130.16,22.55,48.73,43.81,11.97,4.31,25.6,34.4,19.2,1009.6,59,2.3
166.32,12.54,37.76,30.09,9.14,4.53,27.2,34.7,18,1009.4,58,2.6
151.28,10.17,37.67,28.17,8.98,4.91,27.1,34,17.8,1011,54,2.3
154.57,29.69,49.15,48.57,19.19,4,26,33.8,17.4,1013.8,52,2.4
176.87,42.51,35.25,50.82,28.46,15.45,24.5,31,15.3,1013.1,48,3.1
169.8,28.59,41.07,44.71,25.23,20.67,24.8,32,16,1013.3,49,2.9
229.84,39.65,40.05,53.03,29.54,23.68,25.9,33,16.1,1013.1,54,2.4
196.08,53.54,34.73,61.3,16.36,12.03,24.5,32.5,15,1014.8,58,2.4
204.72,41.42,35.4,51.96,20.41,9.08,24.2,32.4,15.8,1016.8,59,2.1
180.58,32.52,34.18,44.19,24.73,7.72,24.2,31,15.6,1016.7,62,1.9
139.02,44.55,36.5,55.05,28.02,15.23,24.2,32.1,15.5,1014.8,60,1.9
140.56,48.52,39.08,59.6,31.13,17.49,24.3,31.1,16.5,1015.5,63,1.6
141.9,11.13,29.1,24.39,28.79,12.94,24.1,31,16,1015.3,63,1.6
115.36,7.08,21.83,17.27,31.3,3.8,24.1,31.1,16,1014.3,65,1.6
87.54,5.84,15.19,12.75,15.88,1.26,24.6,32,16,1012.1,63,1.6
213.56,7.19,26.3,19.74,15.5,4.23,25.2,31.6,18.5,1011.7,63,1.9
142.75,8.49,38.09,27.05,20.59,3.68,24.4,30.6,18,1013.4,57,2.4
425.28,31.3,41.55,46.45,21.46,6.36,22.2,28,15.3,1014.7,42,2.7
254.02,58.68,49.59,71.87,23.22,10.01,20.3,28,12.5,1015.7,44,3.1
194.23,59.33,46.16,71.99,23.7,11.08,18.6,27.8,10.5,1014.7,58,1.4
121.39,15.02,46.59,36.76,23.8,4,21.8,31.4,13.4,1011.2,67,1.1
93.9,11.95,48.22,35.19,14.54,2.69,21.9,30.2,14.2,1009.6,74,1.3
129.34,8.64,37.56,26.89,12.95,1.66,22.2,29.4,17.6,1011.4,77,2.3
106.22,10.45,44.49,32.01,14.97,1.35,22.2,28.5,16.2,1015.2,67,2.4
84.72,24.3,48.24,45.1,15.91,1.97,20.7,29,11.3,1017.5,51,2.3
138.57,59.36,57.4,78.02,24.68,7.61,20.9,28,13.4,1017,49,3.2
114.18,118.87,65.4,129.88,28.77,10.13,19.3,27.9,10.4,1016.4,59,2.9
85.84,58.04,51.53,73.71,13.39,4.78,19.8,27.2,10.5,1016.3,64,2.1
135.81,62.61,44.99,74.01,5.56,9.84,20.8,28.2,10.7,1018,65,1.9
84.37,23.67,38.91,39.63,4.1,4.82,19.8,28.1,12.2,1018.8,71,1.8
72.61,54.04,40.95,63.91,13.52,6,19.3,26.2,10.7,1017.7,68,1.8
123.59,67.33,42.43,76.43,12.53,6.97,19.6,28,9,1014.6,56,2.4
118.31,72.75,41.32,80.17,15.76,8.5,18.9,28.1,8.6,1016.7,58,1.9
97.99,102.27,44.84,105.67,16.65,11.35,17.7,27.4,8.6,1017.8,67,1.6
89.44,48.79,39.98,60.3,9.9,6.88,18.3,26,8.4,1015.2,68,1.6
91.26,55.28,37.29,64.05,13.2,8.18,17.4,25,9.8,1015,72,1.8
118.96,79.39,46.54,88.27,18.54,27.94,17.5,25.1,8.8,1015.7,67,1.9
106.1,62.3,50.56,76.74,23.16,11.73,16.5,24.2,7.6,1016.3,70,1.8
116.87,35,55.69,57.62,15.62,7.19,17.4,25,8.2,1014.9,66,1.8
68.63,13.37,30.28,26.8,6.7,1.87,16.4,23.8,8.8,1016,80,1.1
77.46,17.68,31.49,30.9,3.58,3.15,17.2,22.3,12.6,1017.7,83,1.4
93.5,14.95,33.59,29.83,6.45,2.28,15.7,21.4,8,1022.8,74,1.9
104.15,24.16,38.45,39.79,10.62,4.42,15.3,22,8.2,1022.3,78,1.9
144.42,65.48,43.6,75.58,14.6,9.26,15.7,23,7.2,1022.3,68,1.9
149.76,22.16,35.76,36.75,5.72,4.74,14.2,23.5,6.2,1020.5,72,1.6
203.36,37.32,34.6,48.27,7.64,5.02,14.4,22.1,5.1,1018.6,68,1.8
228.47,75.99,34.88,79.35,17.57,10.88,14.8,22.3,5.2,1018.9,67,2.1
286.2,67.54,36.53,73.46,11.48,10.91,12.3,22.4,4,1017.9,74,1.3
231.86,57.36,39.46,66.87,15.26,10.57,11.3,22.3,4.7,1017.7,82,1.1
296.08,105.12,36.22,103.36,14.7,16.58,11.6,21.6,4,1018.3,81,1
